id,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.dateSeen,prices.isSale,prices.merchant,prices.shipping,brand,manufacturer,primaryCategories,weight,,,,,
AVpfVI9wilAPnD_xZxH-,99,99,yes,USD,2017-07-14T23:00:00Z,FALSE,tube_works,,WD,,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,83.99,83.99,In Stock,USD,"2018-05-07T17:00:00Z,2018-06-04T15:00:00Z,2018-07-25T20:00:00Z",TRUE,bhphotovideo.com,Free Expedited Shipping,WD,,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,84.99,84.99,In Stock,USD,"2018-01-09T22:00:00Z,2017-12-08T09:00:00Z,2017-12-08T10:00:00Z,2017-12-05T21:00:00Z,2017-11-18T17:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,WD,,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,90.71,90.71,In Stock,USD,2017-07-23T07:00:00Z,FALSE,DigitalShopper,Standard,WD,,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,84.99,84.99,Yes,USD,"2017-10-10T02:00:00Z,2017-08-28T09:00:00Z,2017-08-12T06:00:00Z,2017-07-31T23:00:00Z,2017-07-26T16:00:00Z",FALSE,Bestbuy.com,,WD,,Electronics,1.32 lb,,,,,
AVpfVI9wilAPnD_xZxH-,89.95,89.95,In Stock,USD,"2017-10-17T17:00:00Z,2017-09-22T09:00:00Z,2017-09-20T18:00:00Z,2017-08-22T14:00:00Z,2017-08-29T16:00:00Z,2017-08-19T09:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,WD,,Electronics,1.32 lb,,,,,
AVpi9AE_LJeJML43qkYJ,199,199,yes,USD,2017-09-20T09:00:00Z,FALSE,gabrians,FREE,Panamax,,Electronics,6.5 pounds,,,,,
AVpi9AE_LJeJML43qkYJ,159.98,159.98,Yes,USD,2017-03-02T22:00:00Z,FALSE,Bestbuy.com,,Panamax,,Electronics,6.5 pounds,,,,,
AVpi9AE_LJeJML43qkYJ,199.98,199.98,TRUE,USD,2018-05-26T16:00:00Z,FALSE,Bestbuy.com,,Panamax,,Electronics,6.5 pounds,,,,,
AVpi9AE_LJeJML43qkYJ,75,75,yes,USD,2018-06-05T04:00:00Z,FALSE,discountparts99,FREE,Panamax,,Electronics,6.5 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,51.99,51.99,In Stock,USD,2017-12-08T01:00:00Z,FALSE,Car Audio Closeout,Value,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,99.99,49.95,In Stock,USD,2018-01-22T21:00:00Z,TRUE,Audiosavings,Value,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,49.99,49.99,yes,USD,2018-06-20T01:00:00Z,FALSE,www-sonicelectronix-com,FREE,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,66.99,66.99,Yes,USD,2017-04-04T09:00:00Z,TRUE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,99.99,44.36,In Stock,USD,"2017-10-30T18:00:00Z,2017-10-28T19:00:00Z,2017-10-25T00:00:00Z,2017-10-21T12:00:00Z,2017-07-23T06:00:00Z",TRUE,Audiosavings,Value,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,79.99,79.99,Yes,USD,"2017-03-30T01:00:00Z,2017-03-15T17:00:00Z,2017-03-10T16:00:00Z,2017-03-04T01:00:00Z,2017-03-03T14:00:00Z",FALSE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,44.35,44.35,In Stock,USD,"2017-11-16T18:00:00Z,2017-11-11T22:00:00Z",FALSE,Hotelectronics,Value,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,72.99,72.99,Yes,USD,2017-07-09T06:00:00Z,TRUE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,65.99,65.99,Yes,USD,2017-08-12T16:00:00Z,TRUE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,71.99,71.99,Yes,USD,"2017-10-10T17:00:00Z,2017-08-12T16:00:00Z,2017-07-26T15:00:00Z,2017-06-01T18:00:00Z,2017-03-15T17:00:00Z,2017-03-10T16:00:00Z,2017-03-04T01:00:00Z,2017-03-03T14:00:00Z",TRUE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
